Title;Author(s);Year;Master Track;Supervisor;Second reader;Abstract/Summary;Main Research Question;SDG;Justification for SDG;Geographical scope;Scale;Main sector;Keywords;Methodology Type;Specific Methods;Theories;Internship Organization;Organizations Studied;Geographical location standardized;Latitude;Longitude;Location precision;Flag
Government support for community action;Ries Verhoeven;2021;Earth Systems Governance;Heleen Mees;Dries Hegger;To limit climate change, the Dutch government aims to reduce greenhouse gas emissions by 49% by 2030. To achieve this goal, a transformation in the energy sector is necessary. The production of renewable energy provides opportunities for a decentralised energy system. In the discourse of the ‘participation society’ in the Netherlands, local communities are increasingly perceived as key players in the transition to a low-carbon energy system. This research aims to answer the question: How and to what extent do local and regional governments support Community Renewable Energy initiatives? The research reveals that municipalities mainly offer advice and legal support, while the province of South Holland provides subsidies and a learning network. The supportive role of governments is limited by various factors, but there is potential for enhancement.;How and to what extent do local and regional governments support CRE initiatives?;7 - Affordable and Clean Energy;This SDG applies as the research focuses on the role of local and regional governments in supporting renewable energy initiatives, which are essential for achieving affordable and clean energy.;Netherlands;Local;Energy & Climate;Community Renewable Energy, local government, regional government, sustainability, energy transition;Qualitative Empirical Research;In-depth interviews, case study;;;Duurzaam Den Haag, Energie van Rotterdam;The Hague;52.0799838;4.3113461;City;
The contribution of a mixed-methods approach on urban resource nexus governance - operationalizing nexus footprints and policy integration in two case studies;Linda Clea Elisabeth Maiwald;2021;Earth Systems Governance;Dr. Marjanneke Vijge;;The concept of urban nexus and its governance has been gradually evolving during the past years. Yet, urban nexus studies still appear as majorly underrepresented compared to a broad range of nexus research focusing on the international or national context. The nexus concept for local studies is still undertheorized. Therefore, the thesis targets on a sharper characterization of nexus to conclude on urban nexus governance. For this reason, the mixed-methods study examines the interactions between water and energy resources and the interaction between institutions facing the nexus issue in two case studies (Amman, Jordan and Pune, India). The Socio-Ecological Systems concept is utilized to establish a theory-neutral framework that bridges both material and institutional analysis.;How can a mixed-methods approach enhance the understanding of urban resource nexus governance in Amman and Pune?;11 - Sustainable Cities and Communities;The research focuses on urban resource governance, specifically the interactions between water and energy resources, which directly relates to the sustainability of cities.;Amman, Jordan and Pune, India;Local;Governance & Policy;urban nexus, nexus footprints, nexus governance, urban system, policy integration, resources, water-energy nexus, mixed-methods;Mixed Methods Research;Case study, Semi-structured interviews, Literature review, Policy analysis;Socio-Ecological Systems, Policy integration;;;Amman;31.9515694;35.9239625;City;
An initial assessment of potential refugee species among large herbivorous mammals;Anouk Visser;2021;Environmental Change and Ecosystems;Joris P.G.M. Cromsigt;Graham I.H. Kerley;This research focuses on identifying potential refugee species among large herbivorous mammals, which are species whose conservation is at risk due to anthropogenic pressures. The study aims to assess the potential refugee status of these species through a global scale analysis using existing datasets. The findings indicate that out of 79 species assessed, 49 could be evaluated, with 18 showing significant potential for refugee status. The research highlights the importance of using global datasets to identify species at risk and suggests that certain variables, such as range decline, are more effective in identifying refugee species than others.;Can an initial assessment using global databases identify possible refugee species among the world’s large herbivorous mammals?;15 - Life on Land;The research aims to protect biodiversity by identifying species at risk of extinction due to anthropogenic pressures, aligning with the goal of conserving terrestrial ecosystems and ensuring sustainable use of natural resources.;Global;Global/International;Ecology & Biodiversity;refugee species, large herbivorous mammals, conservation, anthropogenic pressure, biodiversity;Mixed Methods Research;Principal component analysis, k-mean clustering, data analysis;;;;;;;Broad;Abstract too short
Maximization of carbon storage in timber in residential dwellings in the Netherlands until 2050 and 2100;Myrthe van Stijn;2021;;Prof. dr. Martin Junginger;Prof. dr. Maarten Hajer;This research addresses the increasing need for new residential dwellings in the Netherlands and the potential for carbon storage through timber use. The aim is to identify strategies for high-quality reuse of timber, maximizing its length of use until 2050 and 2100. The methodology includes literature review, expert interviews, data analysis, scenario analysis, and Material Flow Analysis. Key findings suggest that developing disassembly techniques, quality standards, and a marketplace for reused timber can enhance carbon storage and reduce CO2 emissions from incineration.;What strategies can enable high-quality reuse of timber from residential dwellings in the Netherlands to maximize carbon storage until 2050 and 2100?;11 - Sustainable Cities and Communities;This research supports the goal of making cities sustainable by promoting the use of timber in construction, which can enhance carbon storage and reduce emissions.;Netherlands;National;Circular Economy & Production;timber construction, carbon storage, cascading, scenario analysis, Material Flow Analysis;Literature-Based Research, Mixed Methods Research, Qualitative Empirical Research;Literature review, expert interviews, data analysis, scenario analysis, Material Flow Analysis;Biogenic carbon storage in wood, Cascading use of wood, Principles of circular design, Scenario Analysis, Material Flow Analysis;;;Netherlands;52.2434979;5.6343227;Country;Abstract too short
AMBITIOUS URBAN CLIMATE POLICY;Avalon van der Wal;2021;Earth Systems Governance;Rakhyun Kim;Walter Vermeulen;Cities play a key role in daily human life. Over half of the world population lives in cities and this will only become more. Cities can be seen as the main polluters and the main victims of climate change, but also as leaders for climate action. This research focusses on what governance conditions explain variation in ambition in urban climate policy terms of target setting. This is done by conducting a fuzzy set Qualitative Comparative Analysis (fsQCA) using three conditions explaining whether a city is ambitious in its climate policy or not. The main finding is that high collaboration in combination with up-to-date data or left-wing oriented mayor in combination with up-to-date data are sufficient for the outcome.;What governance conditions explain variation in ambition in urban climate policy terms of target setting?;11 - Sustainable Cities and Communities;The research addresses urban climate policies and their effectiveness, which directly relates to making cities sustainable and resilient.;Global;Global/International;Governance & Policy;climate ambition, urban climate policy, fsQCA, urban governance, urban action;Qualitative Empirical Research;Fuzzy set Qualitative Comparative Analysis (fsQCA);;Science Based Target Network;;;;;Broad;
Living Smaller, Slower & Closer. Studying ecovillages from a Degrowth perspective;Lucas van Mierlo;2021;International Development;Annelies Zoomers;;This thesis examines the concept of ecovillages from a Degrowth perspective, aiming to understand their role in addressing ecological challenges. Through qualitative research, including literature review, online interviews, and ethnographic fieldwork, the study explores how ecovillages embody the principles of Degrowth. The findings reveal that ecovillages foster a cooperative lifestyle, where residents share resources and knowledge, contributing to sustainability. The research highlights the potential of ecovillages to serve as models for reducing ecological stress and promoting responsible living.;How do ecovillages incorporate the fundamental criteria of Degrowth?;11 - Sustainable Cities and Communities;Ecovillages promote sustainable living practices and community resilience, aligning with the goal of creating inclusive, safe, and sustainable urban environments.;Global;Local;Social Justice & Equity;Ecovillage, Degrowth, Sustainability, Community, Cooperative living;Qualitative Empirical Research;Literature review, Online interviews, Ethnographic fieldwork;Degrowth, Doughnut economics;;;;;;Broad;Abstract too short
The prioritisation of Sustainable Consumption and Production in the United Nation’s Voluntary National Reviews;Stan van Ginkel;2021;Earth Systems Governance;Prof. Dr. Frank Biermann, Melanie van Driel;Dr. Rakhyun E. Kim;This thesis investigates how countries prioritize Sustainable Development Goal 12 (SDG 12) through the Voluntary National Reviews (VNRs). The aim is to analyze the components of SDG 12, focusing on its targets and Means of Implementation, while identifying reported challenges. A mixed methodology combining quantitative and qualitative analysis is employed to assess the prioritization patterns across countries. The findings reveal significant variations in how countries report on SDG 12, highlighting the challenges faced in its implementation. The study contributes to the understanding of SDG 12's role as an enabler for other goals and offers insights into the effectiveness of VNRs as a governance tool.;How are UN-countries prioritising SDG 12’s components and reporting challenges in the Voluntary National Reviews (2016-2020), and how can the patterns be explained from an Ecological Modernisation perspective?;12 - Responsible Consumption and Production;SDG 12 is crucial as it aims to ensure sustainable consumption and production patterns, which are essential for achieving overall sustainability and addressing global challenges such as resource depletion and environmental degradation.;Global;Global/International;Circular Economy & Production;Sustainable Development Goals, Sustainable Consumption and Production, Voluntary National Reviews, Ecological Modernisation, Global Governance;Mixed Methods Research;Document analysis, Quantitative analysis, Qualitative analysis;Ecological Modernisation;;;;;;Broad;
Directionality of problem shifting between international environmental regimes and its impacts on fragmentation;Minttu Hänninen;2021;Earth Systems Governance;Dr. Rakhyun E. Kim;Prof. Dr. Frank Biermann;Problem shifting has been identified as a common occurrence in international environmental governance, as addressing an environmental problem in one issue area may create problems for another. This thesis looks into whether the direction of problem shifting between the climate and ozone regimes may impact the level of fragmentation between these regimes. The hypotheses were tested through a secondary literature review. Findings show that addressing problem shifting in either direction has led to increased fragmentation, therefore falsifying the hypotheses for this regime pair. Understanding the nature of problem shifting can contribute to addressing the governance objectives of international environmental regimes.;;;;;;;Problem shifting, directionality, fragmentation, international environmental regimes;Literature-Based Research;Secondary literature review;;;;;;;Broad;Missing Research Question, Missing SDG
Climate Change Impacts and Adaptations for Small Wine Producers in Central Italy;Eleonora Saccone;2021;;Dr. Murray Scown;;Climate change is a global challenge, affecting the everyday lives of people as well as sectors globally. In particular, changing temperatures and climates have a profound effect on the food sector. Wine, for example, is especially touched as it has a specific climate niche for growth and maturation of grapes. This research assesses the impacts of climate change on viticulture and possible adaptation strategies that wineries can implement. The thesis focuses on two wineries in Italy: Pacina in Tuscany and Polidori in Umbria. Through interviews, both wineries have seen changes in phenological phases, specifically when it comes to maturation and harvesting. Increases in temperature have led to grapes containing more sugars, causing an increase in alcohol percentage in the wine. However, both wineries have been able to maintain complexity within the wine, therefore no significant alterations to the taste and quality.;How has climate change in recent years affected wine chemistry in these wineries?;13 - Climate Action;This SDG applies as the research focuses on the impacts of climate change on viticulture and the adaptation strategies that wineries can implement to cope with these changes.;Central Italy;Local;Agriculture;Climate change, viticulture, adaptation strategies, small wineries, Tuscany, Umbria;Mixed Methods Research;Interviews, statistical analysis, literature review;;;Pacina, Polidori;Italy;42.6384261;12.674297;Country;
Towards better climate change adaptation governance in Curaçao and Bonaire;Esmé de Bruijn;2021;Earth Systems Governance;Dr. Carel Dieperink;Dr. Frank van Laerhoven;This study addresses the governance around climate change policies in two small islands in the Southern Caribbean. The research investigates existing climate change adaptation policies and assesses their governance quality. A literature review was conducted to develop an analytical framework for good governance, which was applied to policy documents and 22 semi-structured interviews with stakeholders. The findings indicate that while principles of Transparency, Inclusiveness, and Connectivity are relatively well established, Accountability and Government Effectiveness require improvement. The study aims to bridge the knowledge gap on climate adaptation in the Southern Caribbean and provide recommendations for enhancing governance practices.;What climate change adaptation policies are in place in Curaçao and Bonaire, and can these policies be characterized as good governance?;13 - Climate Action;This SDG applies as the research focuses on climate change adaptation policies and governance in response to the impacts of climate change on vulnerable small island states.;Curaçao, Bonaire;Local;Governance & Policy;good governance, climate change adaptation in Small-Island Developing States, assessment framework;Literature-Based Research, Qualitative Empirical Research;Semi-structured interviews, Policy analysis;;;;Curaçao;12.1176488;-68.9309263;City;Abstract too short
The role of knowledge in stimulating the transition towards nature-inclusive agriculture;Lisa Beekman;2021;;Hens Runhaar;;This study investigates the role of knowledge in influencing Dutch citizens' intentions to contribute to nature-inclusive agriculture (NiA). The research aims to fill the knowledge gap regarding citizens' awareness and willingness to support NiA, which is crucial for enhancing biodiversity in agricultural areas. A literature review and a questionnaire were employed to gather data from 1550 respondents. The findings reveal that knowledge significantly predicts intention, particularly among women over fifty with higher education levels. However, the increase in intention is influenced by additional variables beyond knowledge alone.;To what extent does knowledge affect Dutch citizens intention to contribute to NiA?;15 - Life on Land;This SDG is relevant as the study focuses on enhancing biodiversity through nature-inclusive agriculture, addressing the decline of ecosystems and species in agricultural areas.;Netherlands;National;Ecology & Biodiversity;governance, sustainable agriculture, knowledge, intention;Literature-Based Research, Quantitative Empirical Research;Questionnaire, Explorative factor analysis;Reasoned Action Model;Natuurmonumenten;;Netherlands;52.2434979;5.6343227;Country;Abstract too short
Exploring the Scientific Discourse on Solar Radiation Management and the Global South Representation and Recognition of the Global South in Knowledge Production on Solar Radiation Management;Alina Weiss;2021;Earth Systems Governance;Frank Biermann;Carole-Anne Sénit;In the Anthropocene, climate change and its associated impacts are an emerging threat. In the light of global shortcomings in meeting mitigation and adaptation targets, the discourse on geoengineering technologies, including solar radiation management (SRM), emerged. While the technical feasibility of these technologies is still in the experimentation phase, their social, ecological, and economic implications require scientific scrutiny. Scholars attribute the leading role in governing geoengineering to scientists as they steer collective decisions about geoengineering while state action is often absent. This stresses the importance of investigating the scientific discourse, where scholars from the Global South and their interests are systemically underrepresented. In this research project, I will investigate the representation and recognition of the Global South in the knowledge production on solar radiation management (SRM). A mixed quantitative-qualitative research strategy focussing on the global scientific discourse will be supported by empirical work applying a bibliometric analysis and a sociology-of-knowledge discourse analysis.;;;;Global;Global/International;Governance & Policy;Solar Radiation Management, Scientific Discourse, Global South, Sociology-of-Knowledge Discourse Analysis (SKAD), Bibliometric Analysis;Mixed Methods Research;Bibliometric Analysis, Sociology-of-Knowledge Discourse Analysis;;;;;;;Broad;Missing Research Question, Missing SDG
Ecological stability in the face of climatic disturbances: a case study of a dryland ecosystem in the Moroccan High Atlas Mountains;Angelique Vermeer;2021;;Ángeles Garcia Mayor, Saskia Förster;;This study investigates the ecological stability of a dryland ecosystem in the Moroccan High Atlas Mountains, focusing on its response to climatic disturbances such as drought and flooding. The aim is to quantify ecological stability using the Breaks For Additive Seasonal and Trend (BFAST) change detection methodology applied to Landsat NDVI data from 1984 to 2019. Findings reveal that ecological stability varies across the watershed, with higher stability in the northern regions and lower stability in bare areas. The study highlights the importance of understanding ecological stability for land restoration efforts.;What are the hotspots of (high and low) ecological stability in the face of climatic disturbances in the Ounila watershed?;15 - Life on Land;This SDG applies as the research focuses on the ecological stability of dryland ecosystems, which are crucial for biodiversity and land restoration efforts.;Ounila Catchment, Morocco;Local;Ecology & Biodiversity;Moroccan Atlas Mountains, ecological stability, drought, NDVI, Landsat, time-series, change detection;Mixed Methods Research;BFAST change detection, NDVI analysis, statistical analysis;;PermaAtlas;;Ounila watershed;;;Broad;Abstract too short
Exploring the link between waste governance structures and livelihood options for urban waste pickers;Naomi Hayoun;2021;International Development;Prof. Dr. Ajay Bailey;Dr. Murtah Shannon;This thesis examines the relationship between waste governance structures and the livelihood options of urban waste pickers in Bengaluru, India. The aim is to understand how the policy framework and institutional arrangements impact the livelihoods of these workers. A qualitative analysis was conducted using policy analysis, media analysis, and semi-structured interviews. The findings reveal that source segregation and decentralized waste management are crucial for improving the working conditions of waste pickers. However, vulnerable waste pickers may be excluded from these opportunities, highlighting the need for tailored support from municipalities.;How do waste governance structures impact the livelihood options of urban waste pickers in Bengaluru?;11 - Sustainable Cities and Communities;This SDG applies as the research focuses on improving urban waste management and the livelihoods of waste pickers, contributing to sustainable urban environments.;Bengaluru, India;Local;Governance & Policy;Solid waste management, urban governance, waste pickers, sustainable livelihoods, urban exclusion;Qualitative Empirical Research;Policy analysis, media analysis, semi-structured interviews;Sustainable Livelihoods approach, Urban Exclusion;;;Bengaluru;12.9767936;77.590082;City;Abstract too short
Analysing the sustainability of Istanbul’s Urban Transformation Projects: The Impact on Gecekondu Huda Communities;Sinan Turgut;2021;International Development;Femke Van Noorloos;Griet Steel;For this study I carried out research looking into the social, economic and environmental sustainability of urban transformation projects of gecekondu communities (‘squatter settlements’) in Istanbul. In-depth interviews with open-ended questions were carried out with a range of stakeholders. These included academics within the field of urban transformation, activists involved in rights to the city and housing rights, Istanbul Metropolitan Municipality, a private urban transformation planner, local experts from all three of the main occupational chambers in Istanbul, and finally community leaders from different communities where urban transformation has taken place or is taking place. I approached this study using concepts of neoliberal urbanism and gentrification as these seemed to be the most important issues, and of course the sustainability assessment framework of urban transformation projects. The main focus of the results was on the social sustainability dimension as the biggest problems of gentrification, stakeholder participation, rights to the city were all social issues. Overall, the study concluded that neoliberal urbanism has played a significant role in shaping urban transformation projects and along with the dynamics of the political system within Turkey, UT projects have been unsuccessful in promoting social, economic and environmental sustainability for gecekondu communities.;;;;Istanbul, Turkey;Local;Urban & Regional Development;;Qualitative Empirical Research;In-depth interviews;Neoliberal Urbanism, Gentrification;;Istanbul Metropolitan Municipality;Istanbul;41.006381;28.9758715;City;Missing Research Question, Missing SDG
Monitoring land cover change in an Environmental Impact Assessment follow-up processes: A low-cost replicable method using remote sensing imagery and citizen science.;Meng Chiao Lin;2021;Environmental Change and Ecosystems;Britta Ricker;Prof. dr. ir. Max Rietkerk;Environmental impact assessment (EIA) is crucial for project development, ensuring potential environmental impacts are addressed. This research aims to enhance EIA follow-up processes using Earth Observation (EO) and Geographic Information System (GIS) technologies, alongside Citizen Science (CS) for data collection. A workflow was developed to monitor land use and land cover (LULC) changes through freely accessible EO and GIS software, specifically Google Earth Engine. A CS app was created to gather ground truth data. Results indicate the workflow is replicable and accessible, promoting public engagement and improving EIA follow-up monitoring networks.;How can a low-cost and replicable method using remote sensing imagery and citizen science enhance the EIA follow-up process for monitoring land cover change?;15 - Life on Land;This research contributes to sustainable land management and biodiversity conservation by improving monitoring processes in environmental impact assessments.;;Local;Ecology & Biodiversity;Environmental Impact Assessment, Environmental Impact Assessment follow-up, Earth Observation, Remote Sensing, Google Earth Engine, Geographic Information System, Citizen Science, Land use land cover classification;Mixed Methods Research;Case study, Application development, Data collection;;;;;;;Broad;Abstract too short
(Science) Fiction Imaginaries and Policy;Alissa Kerklingh;2021;Earth Systems Governance;Joost Vervoort;Peter Pelzer;Modern democracies are exploring how to address long-term issues like climate change that lack immediate incentives for action. This research investigates whether alternative, positive futures can be collectively imagined through cultural artefacts, particularly science and climate fiction. The study involved ten policymakers who utilized these genres to envision future worlds. Findings indicate that while most policymakers found value in science and climate fiction for stimulating alternative futures, they did not consider science fiction the most effective tool for policy settings. Recommendations are made to enhance future thinking in policy contexts.;To what extent can (science) fiction stimulate policymakers to think of alternative futures?;13 - Climate Action;The research addresses the need for innovative approaches to climate change by exploring how cultural narratives can influence policy and future planning.;;Local;Governance & Policy;Futuring, Foresight, Anticipatory Governance, Imaginaries, Science Fiction, Climate Fiction, Policy;Qualitative Empirical Research;;Cultural cognition theory, Cultivation theory;;;;;;Broad;Abstract too short
