Title,Author(s),Year,Master Track,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag
"The role of participatory budgeting in creating fair urban green spaces. A case study of Wrocław, Poland",Magdalena Zajączkowska,2024,n/a,Heleen Mees,Dries Hegger,"This research investigates the implications of participatory budgeting (PB) on environmental justice, focusing on urban green spaces in Wrocław, Poland. The aim is to understand how PB can contribute to fair access to green spaces, particularly for marginalized communities. A case study approach was employed, utilizing document analysis, interviews, and surveys to gather data. Findings indicate that while PB has improved the allocation of green spaces, challenges remain in inclusivity and recognition of diverse community needs. The study highlights the potential of PB to enhance environmental justice and identifies areas for improvement in citizen engagement and government responsiveness.","How does participatory budgeting influence environmental justice in the context of urban green spaces in Wrocław, Poland?",11 - Sustainable Cities and Communities,"This SDG applies as the research focuses on improving urban green spaces and ensuring equitable access for all communities, addressing the challenges of environmental justice.","Wrocław, Poland",Local,Urban & Regional Development,"environmental justice, participatory budgeting, urban green spaces, procedural justice, distributive justice, recognitional justice",Mixed Methods Research,"Document analysis, interviews, survey",n/a,n/a,n/a,Wrocław,51.1263106,16.9781963,City,Abstract too short
Imagining a Multiplanetary Future – Elon Musk's Impact on the Sustainability Discourse,Leon Wagenknecht,2023,n/a,"Rakhyun E. Kim, Xiao-Shan Yap",Frank Biermann,"This Master’s thesis project explores the impact of Elon Musk on the discourse of sustainability. His accomplishments in industry and innovation make him one of the most important and influential actors of the 21st century. Musk is renowned for redefining technology, challenging conventional thinking, and sparking debates about the future of sustainability. Employing a mixed-method approach, this research analysed a corpus of 151 tweets authored by Musk and 141,115 responding quote tweets from 2009 until 2023. The analysis reveals that Elon Musk develops a socio-technical imaginary of making life multiplanetary which creates a rivalrous discourse to conventional understanding of sustainability. His future vision triggers a division among Twitter users in proponents and opponents. While proponents support the multiplanetary notion of sustainability by extending life beyond Earth to ensure its long-term survival, opponents contend that ‘planetary’ sustainability, which means staying within planetary boundaries, should take precedence. The implications of the findings suggest that sustainability discourses may increasingly embrace a focus on extending life beyond Earth, which could pose new challenges for policymaking and governance.",n/a,n/a,n/a,n/a,n/a,n/a,"sustainability, socio-technical imaginaries, multiplanetary, Elon Musk",Mixed Methods Research,"Data collection, Data analysis of Musk’s tweets, Data analysis of quote tweets",n/a,n/a,n/a,n/a,,,n/a,"Missing Research Question, Missing SDG"
Adding monetary value to mangrove restoration projects through carbon credits,Mats Houben,2023,Energy & Materials,Anna Duden,Martin Junginger,"To achieve net-zero emissions goals, negative emissions are required. One prominent emission reduction mechanism is the Voluntary Carbon Market, which enables the trade of emission certificates while generating funding for offset projects. Carbon offsetting through the reforestation of mangroves possesses a significant potential for climate change mitigation, as their restoration efforts result in the substantial sequestration of carbon. This study has therefore examined how carbon credits can add monetary value to mangrove restoration projects, to increase project development. This was investigated through literature reviews, expert interviews, a stakeholder analysis, and a feasibility frontier. The study presents a comparison between three distinct certification standards that can generate carbon credits for mangrove projects. It was found that average mangrove restoration projects are cost-effective over a 25-year period based on income from VCM credits alone, but require the inclusion of co-benefits to break-even with current mangrove restoration carbon prices if a 5-year payback period is required.",How can carbon credits add monetary value to mangrove restoration projects to increase project development?,13 - Climate Action,"This research focuses on carbon offsetting through mangrove restoration, which directly contributes to climate change mitigation efforts.",Indonesia,Local,Ecology & Biodiversity,"Carbon credits, voluntary carbon offsetting, certification standards, Carbon sequestration, mangrove restoration","Literature-Based Research, Qualitative Empirical Research","Literature reviews, expert interviews, stakeholder analysis, feasibility frontier",n/a,Witteveen + Bos,n/a,Northen-Java,,,City,
The Social Acceptance of Renewable Energies and Climate-Neutral Electricity Mixes in Bavaria,"Scherer, Jakob",2024,Energy & Materials,Prof. Dr. Gert Jan Kramer,Dr. Sanne Akerboom,"Social acceptance presents a significant barrier to the development of renewable energy (RE) despite widespread support for the energy transition. This research aims at exploring socio-political, community, and market acceptance of key technologies crucial for achieving a climate-neutral electricity supply in Bavaria, while also investigating preferred future electricity mixes. A mixed-method research approach was applied, combining desk research with quantitative and qualitative empirical data collection. The findings indicate that the recent energy crisis has shifted the primary motivation for the energy transition in Bavaria from climate protection to energy independence, while also increasing acceptance levels across all dimensions.",n/a,7 - Affordable and Clean Energy,This SDG applies as the research focuses on the acceptance of renewable energy technologies and the transition to a climate-neutral electricity supply.,"Bavaria, Germany",Local,Energy & Climate,n/a,Mixed Methods Research,"Survey, Interviews",n/a,n/a,n/a,Bavaria,48.9467562,11.4038717,Region,"Missing Research Question, Abstract too short"
Environmental Justice Movements and Just Transformations in Central and Eastern Europe,n/a,2024,n/a,n/a,n/a,"This thesis argues that integrating environmental justice considerations into transformation efforts is essential for long-term and sustainable societal change. Tackling wicked problems like climate change involves fundamental social changes, requiring closer examination of social and ecological aspects rather than forceful enforcement of solutions. This is best achieved through contextualized and tailor-made sustainability solutions. Transformative change is often driven by place-based struggles that coalesce around social-ecological conflicts and injustices, embodying environmental justice movements aimed at halting or preventing social and environmental damage. To better understand movement-induced transformation processes for social justice and environmental sustainability, the concept of just transformations has emerged in scientific and policy discourse. Despite the prominence of place-based struggles in Central and Eastern Europe, their potential for just transformations remains understudied. Therefore, this thesis aims to expand theoretical and empirical understandings in this context.","In what ways do environmental justice movements in Central and Eastern Europe contribute to just transformations when addressing social-ecological conflicts, and how can they enhance our understanding of sustainability transformations in this context?",13 - Climate Action,"The thesis emphasizes the importance of addressing climate change through social justice and environmental sustainability, highlighting the role of environmental justice movements in driving transformative change.",Central and Eastern Europe,Regional,Governance & Policy,"environmental justice, environmental justice movements, just transformations, sustainability, framework, critical and contextual approaches, Central and Eastern Europe","Literature-Based Research, Qualitative Empirical Research","Literature review, expert interviews, semi-structured interviews, document analysis, desk research",n/a,n/a,n/a,"Poland, Romania",52.2229481,21.0219296,Broad,Missing Supervisor
Systems Thinking for Degrowth: The case of European aviation,Anya Al-Salem,2024,n/a,Dr. Robert Harmsen,Dr. Giuseppe Feola,"Degrowth is a burgeoning social movement and academic field calling for a democratic reduction in material and energy throughput to address environmental issues while ensuring well-being for all. This research builds on existing degrowth policy literature by using systems thinking tools to identify dominant feedback loops and leverage points for degrowth in the European aviation sector. Based on 25 expert interviews and an expert workshop, the study presents a causal loop diagram illustrating 15 feedback loops and identifies aviation industry lobbying and airline ticket prices as strategic intervention points for degrowth policies. The findings contribute to the development of effective degrowth transition strategies for European aviation.",What are the dominant feedback loops and leverage points for degrowth in the European aviation sector?,13 - Climate Action,"The research addresses the environmental issues associated with the growth of the aviation sector, which contributes significantly to climate change.",Europe,Regional,Energy & Climate,"Degrowth, Systems Thinking, European Aviation, Feedback Loops, Leverage Points",Qualitative Empirical Research,"Expert interviews, Expert workshop: Participatory systems mapping, Causal loop diagram",Systems thinking,n/a,n/a,n/a,,,Broad,
"Rural Youth Acting as Catalysts Exploring the role of ecochamps in facilitating co-management processes in the Umzimvubu Water Catchment, in South Africa",Jacopo Zani,2024,n/a,Dr. Saul Ngarava,Prof. Frank van Laerhoven,"This thesis explores the role of ecochamps in the Umzimvubu Water Catchment, South Africa, focusing on their influence in co-management processes. The aim is to understand how rural youth can act as catalysts for community engagement and decision-making. A mixed-methods approach was employed, utilizing household surveys, focus group discussions, and stakeholder interviews to gather data. The findings reveal that ecochamps significantly enhance community empowerment and knowledge integration, although challenges remain in achieving effective joint decision-making.",How do ecochamps facilitate co-management processes in the Umzimvubu Water Catchment?,6 - Clean Water and Sanitation,This SDG is relevant as the research focuses on water management and the role of local communities in sustainable practices within the water catchment area.,"Umzimvubu Water Catchment, South Africa",Local,Governance & Policy,"eco-champs, co-management, community empowerment, knowledge integration, youth agency",Mixed Methods Research,"Household surveys, Focus group discussions, Stakeholder interviews",n/a,n/a,n/a,Umzimvubu Water Catchment,,,Broad,Abstract too short
Beyond Mining: Collective Imagination and Community Cohesion in Roșia Montană,E. M. Vrînceanu,2024,Earth Systems Governance,Dr. Diana Vela-Almeida,Dr. Josephine Chambers,"This study examines the relationship between collective imagination and social cohesion in Roșia Montană, a UNESCO World Heritage Site deeply impacted by a proposed mining project. The primary objective is to explore how socio-economic and environmental disruptions, particularly those caused by the Roșia Montană Gold Corporation (RMGC) project, have influenced local imaginaries and community cohesion. Using an ethnographic approach, the research integrates desk research, in-depth interviews, and participant observation conducted over nine months. The analysis reveals that the improper closure of the Cetate Quarry and the socio-political struggle related to the RMGC project have fragmented social cohesion, resulting in diverse and often conflicting local imaginaries. Despite numerous challenges, grassroots movements and local initiatives continue to foster a renewed sense of community and envision sustainable development.",n/a,11 - Sustainable Cities and Communities,"The study addresses the impacts of mining on community cohesion and the importance of inclusive approaches to community building, which aligns with the goal of making cities and human settlements inclusive, safe, resilient, and sustainable.","Roșia Montană, Romania",Local,Social Justice & Equity,"Social cohesion, Collective imagination, Post-mining development, Mine closure, Imagination deinfrastructuring",Qualitative Empirical Research,"Ethnographic approach, In-depth interviews, Participant observation",n/a,Thesis,Roșia Montană Gold Corporation,Roșia Montană,46.3062526,23.1309849,City,Missing Research Question
Collaboratively classifying remote sensing imagery for Land Cover maps of Aruba,Moos Castelijn,2024,n/a,Britta Ricker,Hugo de Boer,"Land cover changes are vital in shaping ecosystems, impacting food production, carbon sequestration, and essential services. This thesis focuses on creating land cover maps for Aruba, a small island nation facing environmental pressures from rapid urbanization. Accurate land cover maps can assist policymakers in addressing these challenges by providing essential data for sustainable land management. The study tackles challenges in developing these maps by selecting suitable land cover classes and determining the best machine learning classifiers. The results showed that K-Nearest Neighbours was the best-performing classifier, achieving an accuracy of 70.49%. These maps provide valuable insights for sustainable infrastructure planning.",n/a,15 - Life on Land,This SDG applies as the research focuses on land cover changes and their implications for ecosystems and sustainable land management in Aruba.,Aruba,Local,Ecology & Biodiversity,"Land cover classification, Hierarchical classification, landscape ethnoecology, remote sensing, machine learning classification, Sustainable Development Goals, Kunming-Montreal global biodiversity framework",Mixed Methods Research,"Machine learning classification, Google Earth Engine application",n/a,Department of Nature and Environment,n/a,Aruba,12.5013629,-69.9618475,Broad,Missing Research Question
Investigating the worlds of activists for virtual world design,Shreeya Patangay,2024,n/a,Dr. Joost Vervoort,Dr. Jeroen Oomen,"This study explores Indian activists’ worlds and their efforts at shaping their worlds. This research took an open approach to exploring the worlds and narratives of Indian environmentalists. After gaining insights, the study answered how these insights can be translated and presented in games that entail virtual worldbuilding. This research objective was fulfilled by closely working with a game-developing team. The study concludes that the interviewees engage in observation, learning, and discernment to refine their mental models. The study underlines the importance of supporting and understanding these agents of change and emphasizes that virtual worldbuilding must be approached sensitively to the cultures, people, and environments it draws inspiration from.",n/a,n/a,n/a,India,Local,n/a,"World-making, worldbuilding, designing virtual worlds, realities, game industry, sustainability science, game and media impact",Qualitative Empirical Research,"Interviews, Literature review",n/a,n/a,n/a,India,22.3511148,78.6677428,Country,"Missing Research Question, Missing SDG"
UNPACKING THE COMPLEXITY IN THE CONNECTION BETWEEN ADOLESCENT PREGNANCY AND CHILD UNDERNUTRITION,Maoudi Diallo,2023,n/a,Harrison Awuh,n/a,"Since 2015, the prevalence of undernutrition has increased, affecting approximately 800 million people globally. This thesis investigates the relationship between adolescent pregnancy and child undernutrition from the perspective of impacted communities. By conducting life history interviews, key informant interviews, photovoice, and focus group discussions in Uganda's Kabarole and Bundibugyo districts, the study identifies a web of factors linking adolescent pregnancy to child undernutrition, including poverty and inadequate education. The findings highlight the need for multisectoral interventions to address these issues and improve nutritional status without intensifying resource use in the food system.",What is the connection between adolescent pregnancy and child undernutrition from the perspective of impacted communities?,2 - Zero Hunger,"This SDG applies as the thesis addresses the critical issue of child undernutrition, which is directly related to food security and nutrition.","Kabarole and Bundibugyo districts, Uganda",Local,Social Justice & Equity,"Undernutrition, adolescent pregnancy, food systems, inequality, health.",Qualitative Empirical Research,"Life history interviews, key informant interviews, photovoice, focus group discussions",n/a,Kabarole Research and Resource Centre,n/a,Uganda,1.5333554,32.2166578,Country,Abstract too short
Environmental justice considerations in urban greenspace planning: Insights from the Netherlands,Karst Popkema,2024,Earth Systems Governance,Heleen Mees,Harriet Bulkeley,"This study examines how urban planners pursue environmental justice in urban greenspace planning processes in Dutch cities, focusing on Utrecht and Rotterdam. The research aims to map out how planners conceptualize, prioritize, and apply environmental justice in greening interventions. By conducting a comparative embedded multiple case study, including interviews and policy document analysis, the study reveals that environmental justice considerations are often implicit and limited, with a predominant focus on distributional aspects. The findings highlight the need for a more explicit acknowledgment of various justice dimensions in urban planning.",How is environmental justice pursued in urban greenspace planning processes in Dutch cities?,11 - Sustainable Cities and Communities,"The research addresses the planning of urban greenspaces, which are essential for creating sustainable and equitable urban environments.",Netherlands,Local,Urban & Regional Development,"Environmental justice dimensions, environmental justice framework, environmental justice trade-offs, urban greenspace planning",Qualitative Empirical Research,"Comparative embedded multiple case study, interviews, analysis of policy documents",n/a,n/a,n/a,Utrecht,52.0907006,5.1215634,City,Abstract too short
Analysing the distributional effects of low emission zones. A case study of the city of Barcelona.,Mariona Kirchner,2024,Earth Systems Governance,Dries Hegger,Hens Runhaar,"This thesis addresses the integration of social justice into sustainability policies, focusing on Low Emission Zones (LEZ) in urban areas, particularly Barcelona. The aim is to examine the distributional effects of LEZ on different income groups. The methodology employs an embedded single-case study design, combining quantitative correlation analysis, qualitative surveys, and expert interviews. Findings indicate that lower-income households disproportionately experience negative impacts from LEZ policies, facing challenges in adaptation and increased economic burdens. The study advocates for equitable LEZ implementation that enhances accessibility and reduces strain on vulnerable populations.",What are the distributional effects of Low Emission Zones on different income groups in Barcelona?,11 - Sustainable Cities and Communities,"The study highlights the need for equitable urban policies that address both environmental goals and social justice, aligning with the aim of making cities inclusive and sustainable.","Barcelona, Spain",Local,Social Justice & Equity,"Low Emission Zones, social justice, sustainability policies, Barcelona, distributional effects",Mixed Methods Research,"Statistical correlation analysis, qualitative surveys, semi-structured interviews",n/a,n/a,n/a,Barcelona,41.3825802,2.177073,City,Abstract too short
Ownership: what role does it play in ensuring a just transition?,Iris Floore,2024,n/a,Sanne Akerboom,Toon Meelen,"Transitioning away from fossil fuels towards renewable energy is essential for carbon neutrality. This thesis investigates the role of ownership in energy production and distribution in ensuring a just transition, using the Netherlands as a case study. It identifies different ownership forms and examines their effects on energy justice, focusing on distributional, procedural, and recognition justice. Data was collected through literature reviews and interviews with stakeholders in the Dutch energy field. The findings indicate that ownership significantly influences the justice of the energy transition, with various ownership forms having different implications. The study highlights barriers faced by more 'just' ownership forms and suggests that policy-makers should consider these implications for future energy justice.",What role does ownership of energy production and distribution play in ensuring a just transition?,7 - Affordable and Clean Energy,"This SDG applies as the thesis focuses on the transition to renewable energy and the implications of ownership structures on energy justice, which are crucial for achieving affordable and clean energy for all.",Netherlands,National,Energy & Climate,n/a,"Literature-Based Research, Qualitative Empirical Research","Literature reviews, Interviews",Energy justice,n/a,n/a,Netherlands,52.2434979,5.6343227,Country,
Performance Agreements in the Dutch Social Housing Sector - A Powerful Policy Tool to Promote Sustainability and Alleviate Energy Poverty?,Tim Felix Oswald,2023,n/a,Dr. Robert Harmsen,n/a,"This research examines the content and quality of the agreements made in performance agreements between Dutch municipalities, social housing associations and their tenant associations in the case study area of the Amsterdam metropolitan area, focusing on the issues of achieving a sustainable built environment and alleviating energy poverty among their tenants. A mixed methods approach consisting of qualitative content analysis and the development and application of a sustainability and energy poverty indicator was applied to this novel research, which examined a total of 48 performance agreements signed by 32 municipalities and 36 social housing associations. The results of the content analysis show that while the identified sustainability and energy poverty themes are generally reflected in the PAs, there is considerable variation in the coverage of each theme.",n/a,n/a,n/a,Amsterdam,Local,Governance & Policy,"Social housing associations, Performance Agreements, Energy Transition, Energy Poverty, Content Analysis, Indicators",Mixed Methods Research,Qualitative content analysis,n/a,TNO,n/a,Amsterdam,52.3730796,4.8924534,City,"Missing Research Question, Missing SDG"
Linking faunal seed dispersal to tree dispersal traits and carbon storage in southern African woodlands,L.A. Bodirsky,2024,Environmental Change and Ecosystems,Mariska te Beest,n/a,"This research investigates the relationship between faunal seed dispersal, tree dispersal traits, and carbon storage in southern African woodlands, particularly in the context of climate change mitigation. The study aims to understand how human-induced defaunation affects carbon storage by analyzing tree inventory, carbon, and dispersal traits across four southern African countries. Five new SEOSAW plots were established in Madagascar for data collection. The analysis revealed significant positive relationships between above-ground biomass, seed size, and fruit size, while human disturbance negatively impacted carbon storage and seed dispersal traits. The findings highlight the need for further research due to gaps in trait data.",How does faunal seed dispersal influence tree dispersal traits and carbon storage in southern African woodlands?,15 - Life on Land,This SDG applies as the research focuses on the role of forests in carbon storage and the impact of biodiversity loss on ecosystem processes.,southern Africa,Regional,Ecology & Biodiversity,"Carbon storage, above-ground biomass, wood density, faunal seed dispersal, savanna woodlands, tree traits",Mixed Methods Research,"Statistical analysis, Spearman rank correlations, principal component analysis, linear regressions, community-weighted means",n/a,n/a,n/a,n/a,,,Broad,
