Title;Author(s);Year;Master Track;Supervisor;Second reader;Abstract/Summary;Main Research Question;SDG;Justification for SDG;Geographical scope;Scale;Main sector;Keywords;Methodology Type;Specific Methods;Theories;Internship Organization;Organizations Studied;Geographical location standardized;Latitude;Longitude;Location precision;Flag
Estimating problem shifting from the Minamata Convention on Mercury;Sem Jans;2023;Earth Systems Governance;Rakhyun E. Kim;Frank Biermann;The challenge of global environmental governance lies largely in implementing effective solutions to environmental problems as articulated in multilateral environmental agreements (MEAs). This study assesses the Minamata Convention, an MEA tasked with managing anthropogenic mercury emissions, to evaluate problem shifting caused by its implementation. By analyzing over 1100 implementation measures from national reports, the study identifies eight measures that generate new problems, particularly affecting lower-income populations. The findings highlight the need for preventative measures within MEAs to mitigate problem shifting and suggest that the methodology can be applied to other agreements.;;3 - Good Health and Well-Being;The study addresses the health implications of mercury management and the unintended consequences of policy measures that affect human health, particularly for vulnerable populations.;Global;Global/International;Governance & Policy;;Literature-Based Research;;;;;;;;Broad;Missing Research Question, Abstract too short
Sexuality education as a weapon against gendered oppression? A case study of the Amazing You! sexuality education programme and its effects on children in Malindi, Kenya.;Lisa Conzemius;2023;International Development;Ajay Bailey;Dora Martins Sampaio;This thesis explores the Amazing You! sexuality education programme in Malindi, Kenya, aiming to understand its impact on children and its role in combating gendered oppression. The research employs qualitative methods, including interviews and focus group discussions, to gather insights from participants and stakeholders. Findings indicate that the programme fosters protective behaviors and promotes gender equality, yet challenges remain due to cultural beliefs and societal norms that perpetuate gendered oppression.;How does the Amazing You! sexuality education programme affect children in Malindi, Kenya, in the context of gendered oppression?;5 - Gender Equality;The research addresses gendered oppression and the role of education in promoting gender equality, aligning with the goal of empowering all women and girls.;Malindi, Kenya;Local;Social Justice & Equity;Sexuality education, gendered oppression, Amazing You!, Malindi, Kenya;Qualitative Empirical Research;Interviews, focus group discussions;Feminist Theory, Theory of Planned Behaviour;A Smile From Kenya;;Malindi;-3.218611;40.116944;City;Abstract too short
Developing a Conceptual Framework For The Comprehensiveness of Social Life Cycle Assessment - A Case Study on Oiconomy Pricing;Wei-Ying Liao;2023;Earth Systems Governance;Agni Kalfagianni;Walter Vermeulen;Achieving sustainability in global value chains is a complex challenge for businesses pursuing the 2030 UN Sustainable Development Goals (SDGs). This research seeks to improve our understanding of social life cycle assessment (S-LCA) methodology comprehensiveness by creating a framework based on scientific discussions and applying it to a case study on Oiconomy Pricing. The study examines whether Oiconomy Pricing's design and social impact categories can universally evaluate social life cycle impacts. The main research question is how comprehensive the Oiconomy System is as an S-LCA instrument. The findings indicate that Oiconomy Pricing is a comprehensive methodology by design but neglected to include diverse stakeholder interests associated with social capital.;How comprehensive is the Oiconomy System as an S-LCA instrument?;12 - Responsible Consumption and Production;The research addresses the need for improved sustainability practices in global value chains, aligning with the goal of responsible consumption and production.;Global;Global/International;Circular Economy & Production;Social Life Cycle Assessment, Oiconomy Pricing, sustainability, comprehensive methodology, stakeholder inclusiveness;Literature-Based Research, Qualitative Empirical Research;Literature review, interviews, materiality analysis, expert consultations;;Oiconomy;;;;;Broad;
How to be a Permie? Analyzing Influential Factors Shaping Permaculture Strategies for Overcoming Challenges in Southern Australia.;Amy Liebregts;2023;Earth Systems Governance;Hens Runhaar;Carel Dieperink;Permaculture, as an alternative and sustainable approach to conventional farming, has been an emerging field of study, primarily focusing on challenges faced and strategies applied during the initiation phase of permaculture enterprises. This research seeks to bridge a critical gap in the existing literature by exploring the factors that shape the strategies employed by long-term successful permaculture practitioners in southern Australia. Through an explorative case study, this research uncovers unique revelations that shed new light on permaculture practices, highlighting the importance of individual-level factors such as motivation and personal values, as well as social-level factors like shared values and community support. The study provides insights into the potential of permaculture practitioners and offers promising prospects for future research.;;;;Southern Australia;Local;Ecology & Biodiversity;;Qualitative Empirical Research;Explorative case study;;;;;;;Broad;Missing Research Question, Missing SDG
Cascading problems through the Ramsar Convention;Elliot Kelly;2023;;Dr. Rakhyun Kim;;This thesis explores the cascading problems associated with the Ramsar Convention, focusing on the governance challenges it faces. The aim is to analyze how decision-making processes within the Convention contribute to problem shifting among multiple environmental agreements. A qualitative empirical research methodology is employed, utilizing case studies and data analysis to uncover the dynamics of these cascades. The findings reveal significant gaps in data sharing and compliance among contracting parties, highlighting the need for improved coordination and accountability.;How do decision-making processes within the Ramsar Convention contribute to cascading problems in environmental governance?;;;China;Local;Governance & Policy;;Qualitative Empirical Research;Case study, Data analysis;Decision Theory;;;Yellow River;34.0;108.0;City;Missing SDG, Abstract too short
CHANGING LANDSCAPES AND RURAL LIVELIHOODS: THE CASE OF GERMİYAN NEIGHBORHOOD IN ÇEŞME DISTRICT, TURKEY EXPLORING RURAL COMMUNITIES’ RESPONSES TO LARGE-SCALE LAND INVESTMENTS;M.A.S. (Defne) Çam;2023;International Development;Janwillem Liebrand;Kei Otsuki;This research investigates the impacts of large-scale land investments on land use and land cover change (LULCC) and the livelihood strategies of the rural community in the Çeşme District of Turkey. The aim is to explore how these investments affect local communities and their responses. Using an exploratory case study approach, the study includes interviews with local authorities and a survey of the rural community. Findings indicate that the majority of the community perceives negative impacts, including loss of pasturelands, environmental pollution, and inadequate support from authorities. The primary strategy employed by the community against these impacts is legal action, highlighting the need for proactive measures to protect their rights.;How do large-scale land investments impact land use and land cover change and the livelihood strategies of the rural community in the Çeşme District?;11 - Sustainable Cities and Communities;The research addresses the challenges posed by large-scale land investments on rural communities, emphasizing the need for sustainable urban and rural development practices.;Çeşme District, Turkey;Local;Governance & Policy;large-scale investments, land use change, land cover change, rural livelihoods, development, rural community, sustainability;Qualitative Empirical Research;Interviews, Survey;Environmental Justice, Sustainable Rural Livelihoods, Common-Pool Resources;;;Çeşme;38.3244044;26.3029604;City;
The impact of paludiculture on farmers’ livelihoods;Celine Klooster;2023;International Development;;;This research addresses the impact of paludiculture on farmers’ livelihoods, focusing on case studies in Sweden and Kalimantan, Indonesia. The aim is to examine how this sustainable production method affects social and economic aspects of farming. Methodology includes a literature review and in-depth semi-structured interviews with farmers and experts. Findings indicate that paludiculture can improve food security and reduce environmental risks, but also leads to economic inequality and dependency among farmers. The study highlights the need for inclusive practices to ensure equitable benefits from paludiculture.;What is the impact of paludiculture on farmers’ livelihoods?;15 - Life on Land;Paludiculture contributes to the restoration of peatlands, which is essential for biodiversity and ecosystem health, aligning with the goal of protecting, restoring, and promoting sustainable use of terrestrial ecosystems.;Sweden, Indonesia;Local;Ecology & Biodiversity;Paludiculture, peatlands, nature-based solutions, sustainable agriculture, food security.;Literature-Based Research, Qualitative Empirical Research;Literature, policy review, semi-structured interviews;;;BRGM;Kalimantan;1.4297828;114.7410413;Broad;Missing Supervisor, Abstract too short
Gender Transformative Approaches – a silver bullet for gender equality? Investigating the effects of the GALS methodology on gender transformative change for coffee smallholders, as implemented in the Circular Coffee Project in San Martín, Peru;Jemma Rimmer;2023;;Femke van Noorloos, Wendy Flikweert;Dora Sampaio;This study investigates the effects of the Gender Action Learning System (GALS) methodology on gender transformative change among coffee smallholders in San Martín, Peru. The aim is to understand how GALS contributes to gender equality by addressing social norms and power structures. Qualitative field research was conducted through workshops, interviews, and participant observation. Findings indicate that GALS promotes recognition of women's work and more equitable resource sharing, but institutional barriers hinder progress. The study concludes that a critical, intersectional approach is necessary for effective gender transformative change in agricultural contexts.;In what ways does the GALS approach contribute to gender transformative change within coffee smallholder’s livelihoods?;5 - Gender Equality;The study focuses on gender transformative change and the empowerment of women in agricultural supply chains, directly addressing the goal of achieving gender equality.;San Martín, Peru;Local;Social Justice & Equity;Gender Inequality, Gender Transformative Approach (GTA), Gender Transformative Change (GTC), Intersectionality, Livelihoods, Smallholders, Coffee Production, Peru;Qualitative Empirical Research;Evaluation workshops, Semi-structured interviews, Visual elicitation, Participant observation, Policy analysis;;Solidaridad;;San Martín;18.0423736;-63.0549948;City;Abstract too short
Stakeholder Frames of Carbon Farming in the German Agricultural Sector Analysing Cooperative and Conflictual Dynamics;Nora Dirks;2023;Earth Systems Governance;Hens A. C. Runhaar;Rakhyun E. Kim;Soil carbon sequestration is claimed to offer a potential solution to climate change and unsustainable agricultural practices by transferring CO2 from the atmosphere into the soil. This study delves into the complex world of carbon farming and its adoption in the German agricultural sector, using frame theory to explore the diverse perspectives of stakeholders. This mixed methods study integrates stakeholder analysis, content analysis, and semi-structured interviews, offering valuable insights into the multifaceted landscape of carbon farming in Germany. The findings contribute to a more comprehensive understanding of the issues at hand and pave the way for more informed and effective decision-making.;;13 - Climate Action;The research addresses the role of carbon farming in mitigating climate change, highlighting its potential to enhance resilience and improve soil health.;Germany;National;Energy & Climate;Carbon farming, frame analysis, stakeholder dynamics, Germany;Mixed Methods Research;Stakeholder analysis, content analysis, semi-structured interviews;Frame Theory;;;Germany;51.1638175;10.4478313;Country;Missing Research Question
Assessing Solar PV System Performance at Utrecht Science Park;Kelsey Yu;2023;Energy & Materials;W.G.J.H.M. van Sark;;This research examines the performance of the Utrecht University Science Park (USP) solar PV system over a five-year period (2018-2022). USP system's energy output consistently surpassed the target of 1 million kWh annually, reaffirming its effectiveness in sustainable energy generation. KNN imputation was used to address data gaps, enhancing analysis accuracy. Assessment of performance metrics, encompassing energy output, final yield, reference yield, and performance ratio, illuminated system efficiency and variability. South-oriented, 30-degree tilt subsystems outperformed, while W-E-S orientation yielded the least. Total in-plane irradiation yield was modeled with Python pvlib and Solargis Prospect Model, with the former generated higher reference yields due to its clear sky modeling, while Solargis introduced more nuanced predictions based on historical weather patterns.;;;;Utrecht, Netherlands;Local;Energy & Climate;;Quantitative Empirical Research;Regression analysis;;;;Utrecht;52.0907006;5.1215634;City;Missing Research Question, Missing SDG
Measuring maturity in corporate Circular Business Models;Andrea Ferguson Perez;2023;;Julian Kirchherr;;This study addresses the underdevelopment of the circular economy (CE) as an alternative to the linear economy. The aim is to develop a maturity model for Circular Business Model (CBM) implementation, providing a diagnostic and benchmarking tool for organizations and policymakers. The research follows a deductive design, conducting an integrative literature review to identify 14 organizational capabilities for CBM implementation. The model is tested with two case studies from the denim industry, refining it based on feedback. The developed maturity model offers guidance for organizations to evaluate their CBM implementation status and plan future steps.;How can organizations measure their maturity in terms of CBM implementation?;12 - Responsible Consumption and Production;The study promotes the implementation of circular business models, which contribute to sustainable consumption and production patterns.;;;Circular Economy & Production;CBM implementation, maturity models, dynamic capabilities, Circular Economy, corporate capabilities;Literature-Based Research, Qualitative Empirical Research;Integrative literature review, case study;Dynamic Capabilities;;;;;;Broad;Abstract too short
The Equivalence of Injustice;Tobias Vast;2023;;Bianca Szytniewski;Gery Nijenhuis;Ten years after the first gas-mining earthquake in Groningen, the people of the region still suffer regular quakes and the effects of the poor political response. This research examines the functioning of the environmental justice framework in describing the lived experiences of injustice in the Netherlands by comparing the experiences of the people of Groningen to those of the Niger Delta. The qualitative research involved meetings with organizations, focus groups, and interviews with inhabitants of both regions. The findings indicate that the frameworks can capture the lived experiences in Groningen and reveal similarities in experiences despite differing impacts of injustice.;How does the environmental justice framework describe the lived experiences of injustice in Groningen compared to those in the Niger Delta?;10 - Reduced Inequalities;This research highlights the disparities in experiences of injustice between privileged and marginalized communities, emphasizing the need for equitable treatment and recognition of all affected populations.;Netherlands, Niger Delta;Local;Social Justice & Equity;;Qualitative Empirical Research;Focus groups, Interviews;Environmental Justice;New Dutch Connections;;Groningen;53.2190652;6.5680077;City;
Surplus Food Redistribution: Towards a World Where No Good Food Goes to Waste;Andrea Veselá;2023;Energy & Materials;Jesús Rosales Carreón;;Food waste is a major global issue, with negative environmental, social and economic impacts. Surplus food redistribution is a strategy, through which the problem of food waste can be effectively combatted by redirecting edible food, which would otherwise be wasted, to people. In the European Union, 127 kg/capita of food is wasted every year, while 36.2 million people cannot afford a nutritious meal every second day. Reducing these figures is paramount, and can be achieved effectively through surplus food redistribution. The aim of this research was to explore surplus food redistribution possibilities across the Member States of the European Union, present an overview of practices from the non-profit and for-profit sectors, and find best practice examples through a multi-criteria decision analysis. This research found that food waste can be combatted through surplus food redistribution in the EU with increased funding and awareness of surplus food redistribution organisations and their activities.;;12 - Responsible Consumption and Production;This SDG applies as the research focuses on reducing food waste through surplus food redistribution, addressing both environmental and social issues related to food security.;European Union;Regional;Circular Economy & Production;;Literature-Based Research, Qualitative Empirical Research;Semi-structured Interviews, Multi-criteria Decision Analysis;Circular Economy;;Fédération Belge des Banques Alimentaires, Česká Federace Potravinových Bank, Toidupank, Fédération Française des Banques Alimentaires, Magyar Élelmiszerbank Egyesület, FoodCloud, Fondazione Banco Alimentare ONLUS, Maisto Bankas, Federacja Polskich Banków Żywności, Federación Española de Bancos de Alimentos;;;;Broad;Missing Research Question
The Transformative Potential of Dutch Community Supported Agriculture;Hermen F.T. Groenendijk;2023;International Development;Natalie Davis;Heitor Mancini Teixeira;This research investigates the potential of Dutch community supported agriculture (CSA) to transform the Dutch food system, which faces various ecological and socio-economic challenges. The study aims to map CSA's transformative potential and explore ways to enhance it. Through an extensive literature review and semi-structured interviews with CSA farmers, members, and experts, the findings reveal that CSA can challenge conventional food system philosophies and foster social communities that reconnect society and nature. The research identifies enablers and barriers for CSA's transformative potential across practical, political, and deeper layers of values and beliefs, suggesting that holistic education and supportive governance can facilitate CSA's emergence.;How can Dutch community supported agriculture (CSA) contribute to the structural transformation of the Dutch food system?;12 - Responsible Consumption and Production;The research highlights the need for sustainable practices in the food system, which aligns with the goal of ensuring sustainable consumption and production patterns.;Netherlands;National;Circular Economy & Production;Community Supported Agriculture, Sustainable Food Systems, Transformation, Enablers, Barriers;Literature-Based Research, Qualitative Empirical Research;Literature Review, Semi-structured interviews;Multi-Level Perspective, Three Spheres of Transformation;;;Netherlands;52.2434979;5.6343227;Country;
Understanding the challenges for citizens in the municipal heat transition: A Case study of the city of Itzehoe, Germany;Jana Catharina Rehder;2023;Earth Systems Governance;Dr. Diana Vela Almeida;Dr. Tatiana Acevedo Guerrero;This research addresses the challenges for citizens' involvement in the municipal heat transition in Itzehoe, Germany, amidst the ongoing energy crisis. The study aims to understand these challenges through a case study involving survey research, interviews with local key actors, and policy analysis. Findings reveal that while citizens are aware of the energy transition's importance and are motivated to contribute, structural challenges hinder their involvement. A clear vision for the transition process and improved information flow from various stakeholders to citizens are essential for enhancing participation.;What are the challenges for citizens' involvement in the heat transition in Itzehoe, Germany?;7 - Affordable and Clean Energy;The research focuses on the energy transition and the role of citizens in achieving a sustainable energy system, directly aligning with the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.;Itzehoe, Germany;Local;Energy & Climate;heat transition, energy citizenship, energy justice, municipal energy policy, citizen involvement;Qualitative Empirical Research;Survey among citizens, Policy analysis, Interviews with local key actors;Energy Citizenship, Energy Justice in low-carbon transitions;Stadtwerke Steinburg GmbH;;Itzehoe;53.919448;9.5172441;City;Abstract too short
Evaluating forest restoration effects on timing of avian dawn chorus in Ranomafana National Park, Madagascar;Marjolein Pijper;2023;;Joris Cromsigt;Mariska te Beest;Monitoring of forest restoration efforts is essential to ensure healthy, self-sustaining tropical rainforests. Passive acoustic monitoring is used to monitor vocal activity of birds, which play a key role in forest ecosystems as seed dispersers. Communication between birds seems most profitable during a peak of bird singing in the morning, known as the dawn chorus. Anthropogenic disturbances leading to increased light levels affect the timing of this chorus in individual species. This research sheds a light on the effect of forest restoration on the dawn chorus using automatic detection methods to identify bird sounds from acoustic data. Machine learning methods like clustering and pattern matching were used alongside a manual analysis to describe the dawn chorus in protected forests as well as restoration sites around Ranomafana National Park, Madagascar.;;;;Ranomafana National Park, Madagascar;Local;Ecology & Biodiversity;Acoustic monitoring, forest restoration, dawn chorus, avian singing, bird monitoring, automatic recognition;Mixed Methods Research;Passive acoustic monitoring, Machine learning methods, Clustering, Pattern matching, Manual analysis;;;;Ranomafana National Park;-21.2202024;47.4260632;Broad;Missing Research Question, Missing SDG
Operationalising intergenerational justice for long-term geological storage and disposal;Marije Hoff;2023;;Sanne Akerboom;;Intergenerational justice concerns itself with the just distribution of risks and benefits across generations, including people thousands of years into the future, and is inherent in the concept of sustainability. This research aims to develop an assessment framework for how intergenerational justice is operationalised in long-term policy, applied to nuclear waste disposal and carbon capture and storage (CCS) policies in the Netherlands, UK, Finland, and Norway. The framework consists of ten criteria based on six principles. Findings indicate that nuclear waste disposal policies perform better than CCS policies, but both need improvements to adequately safeguard intergenerational justice.;How should intergenerational justice be operationalised in long-term policy to safeguard the rights of future generations?;13 - Climate Action;The research addresses the long-term impacts of nuclear waste disposal and carbon capture and storage, which are critical for mitigating climate change and ensuring sustainability for future generations.;Netherlands, United Kingdom, Finland, Norway;Global/International;Energy & Climate;;Literature-Based Research, Qualitative Empirical Research;Systematic literature review, Policy analysis;Intergenerational justice;;;Netherlands;52.2434979;5.6343227;Country;Abstract too short
