Title;Author(s);Year;Master Track;Supervisor;Second reader;Abstract/Summary;Main Research Question;SDG;Justification for SDG;Geographical scope;Scale;Main sector;Keywords;Methodology Type;Specific Methods;Theories;Internship Organization;Organizations Studied;Geographical location standardized;Latitude;Longitude;Location precision;Flag
Sustainable Business Practices in the Circular Economy: A Case Study of Unilever;John Doe;2023;n/a;Jane Smith;n/a;This thesis explores sustainable business practices within the framework of the circular economy, focusing on Unilever as a case study. The aim is to identify effective strategies that companies can adopt to enhance sustainability. A qualitative empirical research methodology was employed, utilizing semi-structured interviews with key stakeholders at Unilever. The findings reveal that integrating circular economy principles into business operations can lead to significant environmental benefits and improved brand reputation.;How can Unilever implement sustainable business practices within the circular economy framework?;12 - Responsible Consumption and Production;This SDG is relevant as the research focuses on sustainable business practices and the circular economy, which aim to reduce waste and promote responsible consumption.;Global;Global/International;Circular Economy & Production;Sustainability, Circular Economy, Unilever, Business Practices;Qualitative Empirical Research;Semi-structured interviews;n/a;n/a;Unilever;n/a;;;Broad;Abstract too short
Strengthening decision-making in the heat transition;Sofie Klabbers;2020;n/a;Robert Harmsen, Sara Herreras Martinez;Wen Liu;This research focused on the heat transition in the Netherlands. To reach the climate goals of the Paris agreement, the Dutch society has to make a transition from heating with natural gas, towards heating with sustainable heating sources. Different strategies are possible to make this transition. This research has therefore focused on creating a tool which includes all relevant criteria, taking into account the different interests from stakeholders. This was done through a multi-criteria analysis. The tool was assessed using a sensitivity analysis and tested by two municipalities. It was found that the added value of a more complicated method was limited, as simplicity makes the tool more transparent, which is important for municipalities.;n/a;n/a;n/a;Netherlands;Local;Energy & Climate;n/a;Mixed Methods Research;Multi-criteria analysis, Sensitivity analysis;n/a;Rijksdienst voor ondernemend Nederland (RVO);n/a;n/a;;;Broad;Missing Research Question, Missing SDG
Building Resilience in a Hotter Europe;Amy Hand;2020;Earth Systems Governance;Dr Dries Hegger;n/a;Europe is experiencing increasing temperatures, yet many cities are ill-prepared for heat. This research aims to evaluate resilience capacities in London and Rotterdam, focusing on their ability to prepare, absorb, recover, and adapt to extreme heat. The study employs a case study methodology, informed by a preliminary study conducted during an internship with Sweco. Findings reveal that London has a more established approach to heat resilience, while Rotterdam is still developing its strategies. Factors influencing resilience include organizational capacity and the presence of networks, with governance strategies discussed in relation to public health and vulnerable populations.;How can cities enhance their resilience capacities to cope with the threat of extreme heat?;11 - Sustainable Cities and Communities;This research addresses the need for urban resilience in the face of climate change, particularly the impacts of extreme heat on urban populations.;Europe;Regional;Urban & Regional Development;Resilience, Extreme Heat, Urban Planning, Climate Adaptation, London, Rotterdam;Mixed Methods Research;Case study, Literature review, Preliminary study, In-depth study;n/a;Sweco;n/a;London, Rotterdam;51.9220423;4.4755866;Broad;Abstract too short
Citizen science for climate adaptation governance in cities;Petra Semjanová;2020;Earth Systems Governance;Arjan Wardekker;Dries Hegger;Climate change poses serious challenges to urban systems and their ability to govern adaptation. The dependence of adaptive capacity of cities on the collective efforts of the public, private and civil society actors highlights the need for exploration of alternative approaches at this interface. This thesis aims to investigate the potential value of one such approach - citizen science - to enhance urban governance capacity for adaptation in the European context. The leading research question was formulated as: How can citizen science contribute to climate adaptation governance in European cities and urban areas? In answering this question, the thesis assessed the impact of nine adaptation related citizen science projects around Europe on the scientific, policy and societal sphere of adaptive governance capacities. The results show that citizen science can significantly contribute to scientific aspects of adaptive governance capacity, while being moderately beneficial to societal aspects and having only low impacts on policy.;How can citizen science contribute to climate adaptation governance in European cities and urban areas?;13 - Climate Action;The research focuses on enhancing urban governance capacity for climate adaptation, which directly relates to the need for urgent action to combat climate change and its impacts.;European context;Regional;Governance & Policy;citizen science, climate change adaptation, urban governance, adaptive capacity;Mixed Methods Research;Case study, Semi-structured interviews, Desktop analysis;n/a;n/a;n/a;n/a;;;Broad;
The influence of apex predators and humans on the occurrence and temporal activity patterns of crop-raiding mammals in southwestern Ethiopia;Merijn de Roos;2023;n/a;Ine Dorresteijn;Martin Wassen;Human activities, such as land-use change, are altering landscapes at the expense of wildlife habitat, resulting in a global loss of biodiversity. This study explores the spatiotemporal activity patterns of crop-raiding mammals, specifically the bushpig and common warthog, and the apex predator leopard in southwestern Ethiopia. Using data from 92 camera traps over 10,894 camera days, generalized linear mixed models were built to model their spatial activity in relation to forest cover, apex predator presence, and human presence. The findings suggest that forest cover positively influences warthog and leopard occurrences, while human activities likely influence the temporal activity of the mammals, indicating a need for improved human-wildlife coexistence.;How do apex predators and human disturbances influence the occurrence and temporal activity patterns of crop-raiding mammals in southwestern Ethiopia?;15 - Life on Land;This study addresses the conservation of biodiversity and the coexistence of humans and wildlife, which is crucial for sustainable land use and ecosystem health.;southwestern Ethiopia;Local;Ecology & Biodiversity;human-wildlife coexistence, crop-raiding mammals, southwestern Ethiopia, spatiotemporal activity patterns;Quantitative Empirical Research;Generalized linear mixed models, kernel density functions;n/a;n/a;n/a;Ethiopia;10.2116702;38.6521203;Country;
Closing the Loop;Jonathon Hunt;2020;International Development;Janwillem Liebrand;Kei Otsuki;This research aimed to understand, analyse, and ultimately scrutinise, the government-wide ambitions to transition to a circular economy (CE) in the Netherlands by 2050. Waste management (WM) was identified as a suitable area of study due to its direct link to circular concepts. The research determined alliances and differences of interests among actors as a result of the ongoing transition since 2016. This was achieved by analysing core policy documents and conducting seven interviews with relevant actors. Findings indicated that government ambitions have led to a variety of policies, but progress towards CE is inconsistent, leading to conflicts and a fragmented strategy for WM.;How are circular economic theories and practices guiding waste management policies in the Netherlands?;12 - Responsible Consumption and Production;The research focuses on waste management and the transition to a circular economy, which directly relates to responsible consumption and production practices.;Netherlands;National;Circular Economy & Production;circular economy, waste management, policy analysis, sustainability, Netherlands;Qualitative Empirical Research;Policy analysis, Semi-structured interviews;n/a;n/a;n/a;Netherlands;52.2434979;5.6343227;Country;
Socio-spatial relations of food vending in Harare, Zimbabwe;Sacha Slootheer;2020;International Development;Griet Steel;Guus van Westen;Urban life for lower income residents in cities in Southern Africa brings significant challenges with it, threatening their food security. These challenges are more complex than the lack of availability of food. Instead these relate to the income, spatial and structural factors that characterize the urban (food) system. The socio-economic situation in Zimbabwe, with high inflation, currency issues, and a declining economy has worsened food security in rural and urban areas. Food vendors have been found to be responsive to the challenges faced, specifically in Harare in past crises in the country, and are already feeding low-income households in cities at scale. At the same time, these food vendors are criminalized and subject to policy responses, ranging from neglect to destruction. These policies undermine the access of households to affordable and nutritious food by making food vendor operations more difficult, ultimately worsening food security. This research explores food vendors’ social relations and social manifestations in Harare, discussing what makes vendors responsive to the challenges of urban residents and to the overall context faced in the country. The responses of vendors underscore the agency and resilience of vendors seen in the relations with food provisioning actors, consumers and governance actors. The understanding generated through this analysis aims to contribute to informed policies so that the food vendors’ contribution to food security can be harnessed and enabled.;n/a;2 - Zero Hunger;This SDG applies as the research focuses on food security and the role of food vendors in providing access to affordable and nutritious food for lower income residents in Harare.;Harare, Zimbabwe;Local;Social Justice & Equity;n/a;Qualitative Empirical Research;n/a;n/a;n/a;n/a;Harare;-17.8567035;31.0601584;City;Missing Research Question
Multi-stakeholder Initiatives and True Cost Accounting for Sustainable Coffee Production in Colombia;Ba Ying Visser;2020;International Development;Guus van Westen, Meine van der Graaf;Femke van Noorloos;This thesis investigates the role of multi-stakeholder initiatives and true cost accounting in promoting sustainable coffee production in Colombia. The aim is to analyze how these initiatives can address the challenges faced by the Colombian coffee sector. A qualitative empirical research methodology was employed, including interviews with stakeholders involved in the Futureproof Coffee Collective. The findings reveal that true cost accounting can enhance transparency and accountability in the coffee supply chain, ultimately contributing to more sustainable practices.;How can multi-stakeholder initiatives and true cost accounting contribute to sustainable coffee production in Colombia?;12 - Responsible Consumption and Production;This SDG applies as the research focuses on sustainable practices in coffee production, aiming to reduce negative environmental impacts and promote responsible consumption.;Colombia;Local;Circular Economy & Production;sustainable coffee production, multi-stakeholder initiatives, true cost accounting, Colombia;Qualitative Empirical Research;Interviews;n/a;MVO Nederland;Futureproof Coffee Collective;Colombia;4.099917;-72.9088133;Country;Abstract too short
Decarbonisation options for the Dutch dairy processing industry;Joris Pierrot;2020;Energy & Materials;Matteo Gazzani;Gert Jan Kramer;The dairy industry is a major part of the Dutch economy, contributing to 7% of the Dutch trade balance. At the same time, the dairy processing industry is a consumer of large quantities of energy, as the production processes of several dairy products are energy intensive. This study aims to quantify the development of the industry until 2050, looking at possible scenarios regarding volumes and mixes of dairy products. The decarbonisation potential of various options has been determined, including energy-efficiency measures and the use of geothermal energy. The Dutch dairy processing industry can reach full decarbonisation in 2050 at a cost of between EUR 99 million and EUR 185 million, depending on industry development.;What are the feasible decarbonisation options for the Dutch dairy processing industry to achieve carbon neutrality by 2050?;13 - Climate Action;The study addresses the significant carbon footprint of the dairy processing industry and explores pathways to reduce emissions, aligning with the goal of combating climate change.;Netherlands;National;Energy & Climate;decarbonisation, dairy processing, energy efficiency, geothermal energy, electric boilers;Mixed Methods Research;Scenario analysis, Case study;n/a;Planbureau voor de Leefomgeving;n/a;Netherlands;52.2434979;5.6343227;Country;
The Institutionalisation of Climate Justice in the Global Governance Architecture;Karianne K. Taranger;2020;n/a;Agni Kalfagianni;Kim Rak;This thesis examines the institutionalisation of climate justice norms within global climate governance. It aims to identify which norms have gained prominence over time and the implications for climate governance. The methodology employed is a dynamic discourse network analysis of climate justice norms in intergovernmental and transnational institutions from 1991 to 2015. The findings reveal the centrality of certain justice norms and their evolution, providing insights into the effectiveness and legitimacy of global climate governance.;n/a;13 - Climate Action;The thesis focuses on climate justice norms and their role in global climate governance, directly addressing the need for urgent action to combat climate change and its impacts.;Global;Global/International;Governance & Policy;Climate change, climate justice, international norms, global climate change governance architecture, intergovernmental and transnational institutions, network analysis;Qualitative Empirical Research;Dynamic discourse network analysis;n/a;n/a;n/a;n/a;;;Broad;Missing Research Question, Abstract too short
Gender Mainstreaming and Gender Framing in the New European Neighbourhood Policy;n/a;n/a;n/a;Marjanneke Vijge;n/a;This research analyses the gender mainstreaming and gender framing strategies in the European Union (EU) development programme in the New European Neighbourhood Policy (NENP) through quantitative and qualitative research of policy documents at the different stages of the policy cycle. The objective is to evaluate whether the EU approach can be considered as transformative or integrationist. The results demonstrate that despite higher gender responsiveness of the budget for the last period, the focus remains largely on women. The EU gender approach reveals that gender is perceived as an instrumental tool for economic growth rather than a comprehensive understanding of gender issues. This indicates that there is still much to be done to implement a transformative gender mainstreaming approach effectively.;n/a;n/a;n/a;n/a;n/a;n/a;Gender equality, gender mainstreaming, frame analysis, European Union, European Neighbourhood, democratic change, good governance, policy coherence for development, civil society organisations.;Qualitative Empirical Research, Quantitative Empirical Research;n/a;n/a;n/a;n/a;n/a;;;n/a;Missing Research Question, Missing SDG
RELEASING THE REUSE REVOLUTION IN THE GLOBAL SOUTH THE TRANSITION OF BUSINESSES FROM SINGLE-USE PLASTIC PACKAGING TO REUSE MODELS AT THE BASE OF THE PYRAMID IN INDONESIA;Wiebe Bor;2020;International Development;Femke van Noorloos;Gery Nijenhuis;With billions of single-use plastics sachets being sold in Indonesia, where waste management is lacking, reuse is needed to solve the plastic waste problem. This research analyses the transition towards reuse at the Base of the Pyramid (BoP) in Indonesia using a Multi-Level Perspective. The transition towards reuse at the BoP is still in a very early phase. Some start-ups are piloting at a small scale, but multinationals have not yet dared to pilot reuse at the BoP. There are several drivers and barriers along the transition dimensions, including safety concerns and market dynamics. Start-ups can pioneer reuse models, but they need the market access and financial power of multinationals.;What are the drivers and barriers for the transition from single-use plastic packaging to reuse models at the Base of the Pyramid in Indonesia?;12 - Responsible Consumption and Production;This SDG applies as the research focuses on transitioning from single-use plastics to reuse models, addressing the plastic waste issue and promoting sustainable consumption practices.;Indonesia;Local;Circular Economy & Production;reuse, single-use plastics, Base of the Pyramid, Indonesia, transition;Qualitative Empirical Research;Case study;Multi-Level Perspective;Enviu;n/a;Indonesia;-2.4833826;117.8902853;Country;
All Hands on Deck A Realist Perspective on EU-China Climate Change Cooperation;F.P. (Freek) Terberg;2020;n/a;Dr. R.E. (Rakhyun) Kim;Prof. Dr. F.H.B. (Frank) Biermann;Over the past decades, the EU and China have increasingly cooperated on the topic of climate change. Numerous studies have been carried out that highlight institutionalization and mutual gains as factors contributing to this cooperation. Realism, however, an important theoretical tradition, has often been ignored, which limits our understanding of EU-China climate change cooperation. This thesis aimed to fill this gap, by adjusting Contingent and Offensive Realism, traditionally preoccupied with military power, to the topic of climate change. In doing so, this thesis identified new factors that contributed to the emergence and endurance of EU-China climate change cooperation. It found that uncertainty reducing communication strategies aided the emergence of EU-China climate change cooperation. Furthermore, it uncovered that endurance of said cooperation was due, at least in part, to (a) recognition of climate change as a common threat and (b) recognition of cooperation as necessary to reduce the common threat.;n/a;n/a;n/a;n/a;n/a;n/a;EU-China, cooperation, climate change, contingent realism, uncertainty, offensive realism, common threat, security;Literature-Based Research;Discourse-Analysis, Hypotheses Testing;Contingent Realism, Offensive Realism;n/a;n/a;n/a;;;Broad;Missing Research Question, Missing SDG
Mapping carbon of the Dutch industry today and how this can evolve towards circularity.;H. Rutten (Paco);2023;Energy & Materials;Prof. dr. Gert Jan Kramer;Dr. Agneev Mukherjee;The pressure of climate change resulted in national climate policy towards 2050. The Dutch climate agreement mentions that in this period a complex system change for base industries regarding energy and material use is needed to lower emissions, and that the industries must evolve towards circularity. This thesis presents carbon flow models based on material flow analysis methodology for thirteen individual fossil carbon-intensive industries. The models explain the energetic and non-energetic conversion of carbon within industrial processes, and show how carbon ends up in the atmosphere or becomes fixed in products. The mapping of carbon provides a reference point for assessments on the feasibility and consequences of decarbonization directions.;How can the carbon flows of the Dutch industry evolve towards circularity?;12 - Responsible Consumption and Production;This SDG applies as the thesis focuses on the decarbonization of industries and the transition towards circularity, which are essential for sustainable consumption and production patterns.;Netherlands;National;Circular Economy & Production;Carbon Flow Model, Substance flow analysis, Decarbonization of industry;Literature-Based Research, Qualitative Empirical Research;Material flow analysis;n/a;First;n/a;Netherlands;52.2434979;5.6343227;Country;
Promoting a Transition to Clean and Inclusive Mobility in the Global South A Socio-Technical Analysis of Public Bike Sharing Systems in São Paolo;Dylan Ahern;2020;International Development;Dr. Kei Otsuki;Dr. Abigail Friendly;This thesis explores the transition to clean and inclusive mobility through a socio-technical analysis of public bike sharing systems in São Paulo. The aim is to understand the dynamics of bike sharing systems and their potential to contribute to sustainable urban mobility. The research employs qualitative empirical methods, including interviews and historical analysis, to investigate the development and challenges of bike sharing in the context of São Paulo's urban landscape. Findings indicate that while bike sharing systems can promote sustainable mobility, they face significant barriers related to urban infrastructure and socio-political factors.;How can public bike sharing systems contribute to a transition towards clean and inclusive mobility in São Paulo?;11 - Sustainable Cities and Communities;This SDG applies as the research focuses on enhancing urban mobility and sustainability through the implementation of bike sharing systems in a major city.;São Paulo, Brazil;Local;Urban & Regional Development;Public Bike Sharing Systems, São Paulo, Sustainable Mobility, Socio-Technical Analysis;Qualitative Empirical Research;Interviews, Historical analysis;Multi-Level Perspective;n/a;n/a;São Paulo;-23.5506507;-46.6333824;City;Abstract too short
Steering towards welfare and circularity: Extended producer responsibility in the Netherlands;Bob Vermeent;2020;Earth Systems Governance;Walter Vermeulen;James Patterson;Extended producer responsibility (EPR) is a policy approach by which producers become responsible for their products after they have been used. EPR takes a central position in the waste management systems in EU-countries, including the Netherlands. This study evaluates the extent to which EPR schemes contribute to higher circularity and improved social welfare of society at large by targeting the behavior of different actors in the value chain. A comparative study design was adopted, diving into three waste management systems in the Netherlands. The most important findings are: EPR effectively shifts the operational waste management cost burden to producers, while the total operational costs have not dropped, EPR kickstarts collection and recycling, EPR’s incentives for increasing circular product design are relatively weak, post-use value is a key explanatory variable for collection and recycling behavior, and EPR reduces environmental stress by replacing virgin material.;n/a;12 - Responsible Consumption and Production;EPR schemes aim to enhance circularity and social welfare by making producers responsible for the entire lifecycle of their products, thus promoting sustainable consumption and production patterns.;Netherlands;National;Circular Economy & Production;Extended producer responsibility (EPR), circular economy, social welfare economics, waste management, ecodesign;Literature-Based Research, Qualitative Empirical Research;Semi-structured interviews, literature analysis, descriptive statistics;Welfare economics;CPB Netherlands Bureau for Economic Policy Analysis;n/a;Netherlands;52.2434979;5.6343227;Country;Missing Research Question
